SA12018_code	DHB2015_name
7000424	Northland
7000432	Northland
7000428	Northland
7000433	Northland
7000435	Northland
7000438	Northland
7000552	Northland
7000455	Northland
7000557	Northland
7000598	Northland
7000604	Northland
7000562	Northland
7000558	Northland
7000440	Northland
7000444	Northland
7000441	Northland
7000523	Northland
7000445	Northland
7000536	Northland
7000533	Northland
7000534	Northland
7000522	Northland
7000524	Northland
7000529	Northland
7000526	Northland
7000540	Northland
7000509	Northland
7000516	Northland
7000519	Northland
7000518	Northland
7000808	Northland
7000525	Northland
7000530	Northland
7000434	Northland
7000512	Northland
7000513	Northland
7000517	Northland
7000520	Northland
7000502	Northland
7000499	Northland
7000496	Northland
7000500	Northland
7000510	Northland
7000514	Northland
7000515	Northland
7000507	Northland
7000748	Northland
7000749	Northland
7000750	Northland
7000751	Northland
7000758	Northland
7000765	Northland
7000767	Northland
7000896	Northland
7000764	Northland
7000772	Northland
7000770	Northland
7000782	Northland
7000773	Northland
7000783	Northland
7000791	Northland
7000794	Northland
7000769	Northland
7000768	Northland
7000776	Northland
7000774	Northland
7000775	Northland
7000778	Northland
7000777	Northland
7000781	Northland
7000779	Northland
7000784	Northland
7000785	Northland
7000787	Northland
7000412	Northland
7000795	Northland
7000771	Northland
7000414	Northland
7000792	Northland
7000796	Northland
7000793	Northland
7000940	Northland
7000941	Northland
7000942	Northland
7000938	Northland
7000939	Northland
7000943	Northland
7000949	Northland
7000947	Northland
7000944	Northland
7000945	Northland
7000950	Northland
7000952	Northland
7000951	Northland
7000845	Northland
7000860	Northland
7000858	Northland
7000859	Northland
7000810	Northland
7000809	Northland
7000811	Northland
7000804	Northland
7000805	Northland
7000797	Northland
7000800	Northland
7000803	Northland
7000812	Northland
7000802	Northland
7000865	Northland
7000402	Northland
7000821	Northland
7000915	Northland
7001016	Northland
7000798	Northland
7000807	Northland
7000823	Northland
7000806	Northland
7000894	Northland
7000867	Northland
7000917	Northland
7000916	Northland
7000956	Northland
7000955	Northland
7000957	Northland
7000959	Northland
7000914	Northland
7000918	Northland
7000920	Northland
7000921	Northland
7000923	Northland
7000929	Northland
7000930	Northland
7000953	Northland
